EMD,aging_rate,class_policy,class_quantile,class_equal,top_hits,ratio_x100,univ_count_any,names_any,univ_count_strict,names_strict,has_univ_any,has_univ_strict
백석동,33.6,5,5,5,3,50.60240963855421,0.0,,0.0,,0,0
쌍용3동,33.0,5,5,5,3,49.25373134328358,0.0,,0.0,,0,0
불당동,32.0,5,5,5,3,47.05882352941176,0.0,,0.0,,0,0
원성2동,30.09,5,5,5,3,43.03797468354431,0.0,,0.0,,0,0
문성동,28.2,4,5,4,1,39.26701570680628,4.0,"고신대학교 신학대학원, 단국대학교 __제2캠퍼스, 백석문화대학교, 상명대학교 __제2캠퍼스",2.0,"단국대학교 __제2캠퍼스, 상명대학교 __제2캠퍼스",1,1
신방동,27.07,4,5,4,1,37.12574850299401,0.0,,0.0,,0,0
원성1동,26.8,4,4,4,0,36.60714285714285,0.0,,0.0,,0,0
봉명동,25.17,4,4,4,0,33.64269141531322,0.0,,0.0,,0,0
성거읍,24.44,4,4,4,0,32.35294117647059,0.0,,0.0,,0,0
일봉동,23.92,4,4,4,0,31.439393939393938,0.0,,0.0,,0,0
성환읍,23.81,4,4,4,0,31.25,2.0,"남서울대학교, 연암대학교",1.0,남서울대학교,1,1
성정1동,23.81,4,4,4,0,31.25,0.0,,0.0,,0,0
직산읍,21.94,4,3,3,0,28.11059907834101,0.0,,0.0,,0,0
입장면,20.81,4,3,3,0,26.277372262773724,0.0,,0.0,,0,0
쌍용2동,17.22,3,3,2,0,20.795107033639145,1.0,나사렛대학교,1.0,나사렛대학교,1,1
부성1동,14.95,3,3,2,0,17.575757575757574,2.0,"국립공주대학교 대학원, 한국기술교육대학교 대학원 ",0.0,,1,0
부성2동,14.18,3,3,2,0,16.5266106442577,0.0,,0.0,,0,0
청룡동,13.29,2,2,2,0,15.330188679245282,0.0,,0.0,,0,0
신안동,13.29,2,2,2,0,15.330188679245282,0.0,,0.0,,0,0
성정2동,11.94,2,2,1,0,13.559322033898304,0.0,,0.0,,0,0
수신면,10.59,2,2,1,0,11.844660194174756,0.0,,0.0,,0,0
북면,10.47,2,2,1,0,11.698219836111896,0.0,,0.0,,0,0
성남면,10.38,2,2,1,0,11.584754262788364,0.0,,0.0,,0,0
중앙동,9.21,2,2,1,0,10.149253731343284,0.0,,0.0,,0,0
쌍용1동,9.14,2,1,1,0,10.059171597633137,0.0,,0.0,,0,0
병천면,8.06,2,1,1,0,8.764940239043826,1.0,한국기술교육대학교,1.0,한국기술교육대학교,1,1
광덕면,7.89,2,1,1,0,8.56979778212655,0.0,,0.0,,0,0
목천읍,7.51,2,1,1,0,8.117575388364301,1.0,글로벌사이버대학교,0.0,,1,0
풍세면,7.17,2,1,1,0,7.721428571428571,0.0,,0.0,,0,0
동면,7.11,2,1,1,0,7.655502392344498,0.0,,0.0,,0,0
