EMD_KOR_NM,연도,예상_총인구,예상_청년비율_천명,예상_노년비율_천명,예상_청년인구_명,예상_노년인구_명
대흥동,2026,36623,161.05,119.63,5898,4381
성황동,2026,30454,166.61,117.25,5074,3571
문화동,2026,36650,161.2,117.95,5908,4323
사직동,2026,36577,157.42,107.45,5758,3930
영성동,2026,36577,157.32,107.46,5754,3931
오룡동,2026,40806,166.94,114.81,6812,4685
원성동,2026,24952,173.25,103.64,4323,2586
구성동,2026,23842,171.88,127.25,4098,3034
청수동,2026,25577,160.59,102.65,4107,2625
삼룡동,2026,23208,164.42,143.64,3816,3333
청당동,2026,27550,173.29,89.15,4774,2456
유량동,2026,20921,153.83,155.76,3218,3259
봉명동,2026,18349,206.85,181.73,3796,3335
다가동,2026,30071,166.61,138.34,5010,4160
용곡동,2026,26826,166.29,132.65,4461,3559
신방동,2026,41671,198.95,106.83,8290,4452
쌍용동,2026,22021,110.68,71.71,2437,1579
신부동,2026,25918,150.55,82.17,3902,2130
안서동,2026,21428,154.39,152.68,3308,3272
구룡동,2026,41583,160.48,129.74,6673,5395
목천읍,2026,22049,151.72,225.2,3345,4965
풍세면,2026,11034,183.58,223.49,2026,2466
광덕면,2026,4090,97.65,410.75,399,1680
북면,2026,4177,99.85,390.54,417,1631
성남면,2026,3139,90.33,427.61,284,1342
수신면,2026,2214,97.06,430.35,215,953
병천면,2026,6395,153.82,306.03,984,1957
동면,2026,2079,76.58,470.92,159,979
와촌동,2026,35425,163.86,140.45,5805,4976
성정동,2026,25759,149.89,75.9,3861,1955
백석동,2026,39581,182.38,78.9,7219,3123
두정동,2026,23850,145.01,65.05,3459,1552
성성동,2026,26552,173.69,98.24,4612,2608
차암동,2026,22664,172.96,132.16,3920,2995
불당동,2026,14456,50.7,22.97,733,332
업성동,2026,29890,165.64,138.07,4951,4127
신당동,2026,25686,166.16,146.18,4268,3755
부대동,2026,29572,165.43,142.91,4892,4226
성환읍,2026,20891,147.42,278.82,3080,5825
성거읍,2026,21064,165.99,174.84,3496,3683
직산읍,2026,19759,179.91,178.08,3555,3519
입장면,2026,8489,130.92,321.67,1111,2731
대흥동,2027,32881,180.78,133.19,5944,4380
성황동,2027,27975,186.77,134.14,5225,3753
문화동,2027,32849,180.92,131.65,5943,4324
사직동,2027,33057,177.57,118.16,5870,3906
영성동,2027,33057,177.61,118.17,5871,3906
오룡동,2027,35806,183.61,126.88,6574,4543
원성동,2027,24844,191.68,122.06,4762,3033
구성동,2027,23267,184.86,148.48,4301,3455
청수동,2027,24160,185.05,117.95,4471,2850
삼룡동,2027,22348,177.93,168.5,3976,3766
청당동,2027,29438,189.39,100.36,5575,2955
유량동,2027,19900,173.71,184.54,3457,3672
봉명동,2027,18595,207.45,176.43,3857,3281
다가동,2027,23607,185.23,156.61,4373,3697
용곡동,2027,22752,188.2,149.72,4282,3407
신방동,2027,42166,198.72,102.58,8379,4325
쌍용동,2027,21437,133.64,107.74,2865,2310
신부동,2027,27753,171.17,99.53,4751,2762
안서동,2027,21269,171.47,182.32,3647,3878
구룡동,2027,33583,180.46,143.13,6060,4807
목천읍,2027,22340,152.2,223.97,3400,5004
풍세면,2027,9571,175.93,235.08,1684,2250
광덕면,2027,4150,97.12,406.12,403,1685
북면,2027,4147,99.25,387.2,412,1606
성남면,2027,3234,91.58,419.42,296,1356
수신면,2027,2230,99.19,426.23,221,951
병천면,2027,6534,154.48,303.94,1009,1986
동면,2027,2084,77.98,469.1,163,978
와촌동,2027,29704,183.09,151.43,5439,4498
성정동,2027,27445,172.27,92.18,4728,2530
백석동,2027,39402,181.84,77.8,7165,3065
두정동,2027,25499,163.39,94.64,4166,2413
성성동,2027,28243,189.44,110.87,5350,3131
차암동,2027,21535,187.22,156.69,4032,3374
불당동,2027,15512,73.93,53.82,1147,835
업성동,2027,23888,183.61,155.63,4386,3718
신당동,2027,21836,184.59,160.29,4031,3500
부대동,2027,23644,181.98,160.78,4303,3801
성환읍,2027,20993,148.75,273.48,3123,5741
성거읍,2027,21123,166.07,173.6,3508,3667
직산읍,2027,19781,180.46,176.03,3570,3482
입장면,2027,9434,133.31,312.56,1258,2949
대흥동,2028,31512,183.12,131.17,5771,4134
성황동,2028,25463,192.15,139.82,4893,3560
문화동,2028,31791,183.22,129.79,5825,4126
사직동,2028,33375,179.21,114.59,5981,3824
영성동,2028,33375,179.26,114.64,5983,3826
오룡동,2028,33607,185.87,125.94,6246,4233
원성동,2028,24327,196.73,133.18,4786,3240
구성동,2028,23126,188.33,154.8,4355,3580
청수동,2028,24289,184.46,126.41,4480,3070
삼룡동,2028,22312,180.63,175.26,4030,3910
청당동,2028,34495,190.48,98.2,6571,3387
유량동,2028,20343,177.17,185.5,3604,3774
봉명동,2028,18392,207.42,175.04,3815,3219
다가동,2028,21524,185.31,167.93,3989,3615
용곡동,2028,21844,187.44,162.64,4095,3553
신방동,2028,42267,199.02,102.8,8412,4345
쌍용동,2028,22481,141.52,110.72,3181,2489
신부동,2028,28411,173.63,101.05,4933,2871
안서동,2028,21593,173.48,184.09,3746,3975
구룡동,2028,30906,183.64,141.46,5676,4372
목천읍,2028,22367,151.88,222.7,3397,4981
풍세면,2028,9185,172.2,240.19,1582,2206
광덕면,2028,4151,97.15,405.34,403,1683
북면,2028,4136,99.16,385.73,410,1595
성남면,2028,3265,92.46,416.64,302,1360
수신면,2028,2235,100.31,424.65,224,949
병천면,2028,6592,154.86,304.13,1021,2005
동면,2028,2084,78.09,468.98,163,977
와촌동,2028,27118,186.42,150.56,5055,4083
성정동,2028,28524,175.38,91.58,5003,2612
백석동,2028,39348,181.54,77.59,7143,3053
두정동,2028,26428,171.0,87.22,4519,2305
성성동,2028,30176,191.82,110.96,5788,3348
차암동,2028,21566,191.41,164.57,4128,3549
불당동,2028,15743,79.1,64.85,1245,1021
업성동,2028,21829,183.7,163.76,4010,3575
신당동,2028,21539,182.65,172.4,3934,3713
부대동,2028,21786,181.25,168.46,3949,3670
성환읍,2028,21072,148.96,271.55,3139,5722
성거읍,2028,21123,166.02,173.45,3507,3664
직산읍,2028,19770,180.36,175.55,3566,3471
입장면,2028,9803,137.84,301.98,1351,2960
